z_min,z_max,n_galaxias,sigma_nmad,bias,outliers_05_%,outliers_15_%
0.6000884175300598,0.6500794351100921,349,0.011515179190412164,0.008315682411193848,7.4498567335243555,0.5730659025787965
0.6500794351100921,0.7000704526901245,1058,0.005655936656333506,0.002928950823843479,2.1739130434782608,0.4725897920604915
0.7000704526901245,0.7500614702701569,2915,0.0031409218543209136,0.0003721972752828151,0.823327615780446,0.03430531732418524
0.7500614702701569,0.8000524878501892,4836,0.0025409744799602773,9.051195775100496e-06,0.2688172043010753,0.0
0.8000524878501892,0.8500435054302216,5044,0.002245577211678028,-0.0006253682076931,0.21808088818398097,0.0
0.8500435054302216,0.9000345230102539,4095,0.0018276025092462077,-0.001297644805163145,0.19536019536019536,0.0
0.9000345230102539,0.9500255405902862,2775,0.0017013497869949787,-0.0017031647730618715,0.25225225225225223,0.0
0.9500255405902862,1.0000165581703186,1876,0.00191541521132458,-0.001619477290660143,0.6396588486140725,0.0
1.0000165581703186,1.0500075757503509,1264,0.0024200244662817565,-0.002219283254817128,0.7120253164556962,0.15822784810126583
1.0500075757503509,1.0999985933303833,809,0.002988862547976896,-0.0021627198439091444,2.2249690976514214,0.2472187886279357
