,importance_gain
log_median,0.054302868
log_p95,0.02720532
log_sum,0.014084245
PC141,0.011870976
PC19,0.011854405
PC15,0.010523361
PC134,0.0101220105
PC159,0.0099497745
PC144,0.00908385
PC12,0.008352709
PC23,0.008254711
PC131,0.008118737
PC111,0.0068269717
PC271,0.0068144943
PC128,0.006756151
PC180,0.0067247623
PC157,0.0066933506
PC132,0.0066606463
PC211,0.006580452
PC158,0.006355057
PC151,0.006309787
PC167,0.006176576
PC166,0.0061528967
PC154,0.006129257
PC143,0.0059938584
PC69,0.0059771733
PC213,0.005914939
PC222,0.005906776
PC155,0.0058692577
PC133,0.0057430346
PC137,0.00567928
PC208,0.0054401
PC235,0.0053453837
PC110,0.0052240314
PC191,0.0052003763
PC173,0.005147399
PC16,0.005114972
PC200,0.0050961724
PC203,0.0049873726
PC244,0.0049251295
PC253,0.004890151
PC171,0.0048586885
PC136,0.004844643
PC102,0.004835686
PC273,0.004756025
PC33,0.004729485
PC130,0.0046800505
PC156,0.0045407065
PC46,0.0044734753
PC152,0.0043661036
PC147,0.00434074
PC283,0.0043210187
PC146,0.004281096
PC123,0.0042709564
PC163,0.004183307
PC5,0.0040675406
PC28,0.004039729
PC202,0.003963843
PC282,0.003920181
PC160,0.0039160694
PC135,0.0038091477
PC145,0.003795238
PC220,0.0037832467
PC27,0.0037766434
PC224,0.0037453172
PC138,0.0037324443
PC248,0.0037262167
PC185,0.003719965
PC103,0.0036813663
PC8,0.0036753684
PC168,0.0036684622
PC89,0.0036600393
PC109,0.0036304751
PC113,0.0036235237
PC247,0.003584045
PC218,0.003577825
PC20,0.0035692083
PC292,0.0035535041
PC184,0.0035411997
PC204,0.0035357927
PC258,0.0035262844
PC215,0.003516836
PC175,0.0034969598
PC219,0.003494023
PC53,0.0034900021
PC79,0.0034216659
PC49,0.0033009425
PC45,0.003260576
PC242,0.0032469705
PC192,0.0032266604
PC210,0.0032030516
PC4,0.003188454
PC17,0.0031668842
PC246,0.0031567197
PC181,0.0031501658
PC252,0.0031372558
PC270,0.0031219232
PC251,0.0030905334
PC34,0.0030784395
PC125,0.0030168483
PC162,0.0030110194
PC31,0.0030025234
PC65,0.002995036
PC278,0.0029817752
PC300,0.0029774634
PC207,0.0029515997
PC161,0.0029354321
PC212,0.0029295273
PC1,0.0029263217
PC186,0.002918745
PC29,0.0029019543
PC257,0.0028903554
PC101,0.002854941
PC84,0.002853786
PC37,0.0028343305
PC39,0.0028341026
PC267,0.0028337897
PC81,0.0028007918
PC127,0.0027942397
PC121,0.0027792766
PC95,0.0027409494
PC169,0.0027257195
PC140,0.002696001
PC68,0.0026913246
PC165,0.0026701295
PC62,0.0026664694
PC193,0.0026352052
PC182,0.002593199
PC119,0.0025497826
PC108,0.0025416804
PC21,0.0025353432
PC42,0.002534883
PC63,0.0025339234
PC80,0.0025177582
PC177,0.0025167784
PC32,0.0025103078
PC44,0.0025099926
PC190,0.0024934427
PC264,0.002491738
PC78,0.0024903165
PC228,0.0024902748
PC115,0.0024861663
PC83,0.0024815423
PC58,0.0024660097
PC201,0.0024541211
PC232,0.0024456396
PC269,0.0024455746
PC226,0.0024371357
PC262,0.0024319058
PC70,0.0024051722
PC124,0.0024051429
PC230,0.0023983114
PC118,0.0023950594
PC6,0.0023950413
PC2,0.0023669507
PC187,0.002358789
PC3,0.00235694
PC174,0.0023403922
PC206,0.0023376124
PC260,0.0023245055
PC56,0.002319773
PC178,0.0023149136
PC57,0.0023108888
PC142,0.0023048108
PC276,0.0022920824
PC150,0.002287384
PC217,0.0022842016
PC10,0.002283678
PC120,0.0022746052
PC263,0.0022683318
PC122,0.0022668582
PC176,0.002253509
PC61,0.002253078
PC294,0.002252926
PC279,0.0022382464
PC164,0.0022338736
PC36,0.0022326112
PC153,0.0022279122
PC274,0.0022270281
PC197,0.0021895557
PC96,0.0021309026
PC172,0.0021267417
PC11,0.0021113134
PC256,0.0021043082
PC22,0.0021023965
PC221,0.0020765346
PC26,0.0020732589
PC291,0.0020297156
PC30,0.0019879667
PC94,0.0019855048
PC74,0.001984766
PC199,0.0019839564
log_max,0.001976873
PC249,0.0019676057
PC75,0.0019571136
PC241,0.0019513669
PC239,0.0019506697
PC106,0.0019448875
PC255,0.0019377983
PC91,0.0019321957
PC67,0.0019293212
PC14,0.0019268224
PC43,0.0019186519
PC240,0.0019174351
PC50,0.0019132503
PC93,0.0019075583
PC64,0.00190517
PC189,0.0019007069
PC170,0.001899759
PC13,0.0018987664
PC214,0.0018936215
PC139,0.0018933002
PC223,0.0018910976
PC194,0.0018907335
PC9,0.0018880373
PC59,0.0018833034
PC234,0.0018792056
PC25,0.0018715418
PC51,0.0018673858
PC188,0.0018651673
PC98,0.0018606143
PC268,0.0018596181
PC38,0.0018563584
PC298,0.0018512493
PC179,0.0018468498
PC238,0.0018364374
PC265,0.001827829
PC183,0.0018275122
PC99,0.0018248312
PC288,0.0018152157
PC148,0.0018137407
PC280,0.0018009951
PC195,0.0017976499
PC76,0.0017947641
PC7,0.0017925957
PC47,0.0017915146
PC227,0.0017887931
PC55,0.0017715669
PC209,0.0017702006
PC87,0.0017675683
PC231,0.0017673625
PC105,0.0017609331
PC66,0.0017603107
PC225,0.0017572548
PC92,0.0017503978
PC259,0.0017486697
PC196,0.0017421707
PC90,0.001740883
PC18,0.0017371225
PC73,0.0017291479
PC52,0.0017253183
PC261,0.0017217617
PC129,0.0017213869
PC281,0.0017192609
PC250,0.0017061919
PC245,0.001702459
PC71,0.0017007889
PC290,0.0017002926
PC116,0.0017002557
PC233,0.00169663
PC275,0.0016850086
PC77,0.0016827112
PC198,0.0016793575
PC86,0.001676468
PC293,0.001672937
PC126,0.0016728234
PC277,0.0016716607
PC107,0.0016675701
PC237,0.0016633223
PC299,0.0016604608
PC112,0.001652258
PC284,0.001651606
PC72,0.0016460738
PC289,0.0016447996
PC287,0.0016437541
PC286,0.0016435917
PC88,0.0016424413
PC35,0.001640286
PC41,0.0016399528
PC85,0.001638859
PC40,0.001636406
PC295,0.0016331694
PC266,0.0016320059
PC82,0.0016291916
PC149,0.0016268443
PC243,0.001620014
PC216,0.001616845
PC114,0.0016136444
PC117,0.0016072581
PC236,0.0016040219
PC48,0.0016025688
PC97,0.0015956172
PC54,0.0015923864
PC296,0.0015903795
PC285,0.0015902435
PC229,0.0015811768
PC100,0.0015722986
PC297,0.0015722126
PC254,0.0015578658
PC24,0.0015555009
PC104,0.0015441456
PC60,0.0015169523
PC272,0.0014894401
PC205,0.0014838073
