z_center,z_low,z_high,n,bias,nmad,outliers_pct
0.6166694884498913,0.6000046133995056,0.6333343635002772,2103,0.02645247057080269,0.02171841450035572,0.0
0.649999238550663,0.6333343635002772,0.6666641136010488,2473,0.017301423475146294,0.02225743606686592,0.0
0.6833289886514347,0.6666641136010488,0.6999938637018204,2709,0.009563741274178028,0.022138148546218872,0.0
0.7166587387522061,0.6999938637018204,0.7333236138025919,2637,0.005078060086816549,0.022168630734086037,0.0
0.7499884888529778,0.7333236138025919,0.7666533639033635,2593,0.0013872393174096942,0.022018345072865486,0.0
0.7833182389537493,0.7666533639033635,0.7999831140041351,2250,-0.004539753310382366,0.023305214941501617,0.0
0.8166479890545209,0.7999831140041351,0.8333128641049067,1746,-0.01062520407140255,0.023587072268128395,0.0
0.8499777391552925,0.8333128641049067,0.8666426142056782,1248,-0.02146400883793831,0.022231293842196465,0.0
0.8833074892560641,0.8666426142056782,0.8999723643064499,887,-0.029637411236763,0.02186558209359646,0.0
0.9166372393568356,0.8999723643064499,0.9333021144072214,532,-0.039845116436481476,0.020198820158839226,0.0
0.9499669894576073,0.9333021144072214,0.966631864507993,279,-0.0503159761428833,0.020037967711687088,0.0
0.9832967395583788,0.966631864507993,0.9999616146087646,185,-0.058451954275369644,0.019205700606107712,0.0
