Classe,Corte,N,% retido
ELG,raw,169192,100.0
ELG,C1 zwarning==0,169192,100.0
ELG,C2 +zerr/(1+z)<1e-3,169190,99.99881791101234
ELG,C3 +deltachi2>9,169190,99.99881791101234
ELG,C4 +S/N>0.5,159759,94.42467728970637
LRG,raw,167635,100.0
LRG,C1 zwarning==0,132973,79.32293375488412
LRG,C2 +zerr/(1+z)<1e-3,132972,79.32233722074746
LRG,C3 +deltachi2>9,132972,79.32233722074746
LRG,C4 +S/N>0.5,132554,79.07298595162108
QSO,raw,305789,100.0
QSO,C1 zwarning==0,305789,100.0
QSO,C2 +zerr/(1+z)<1e-3,305789,100.0
QSO,C3 +deltachi2>9,305789,100.0
QSO,C4 +S/N>0.5,305641,99.95160061349493
